common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
31000,0,0,100,1,16,0,0,460.04,0.7055128835109955
39000,0,0,100,1,16,0,0,591.18,1.147817234232001
15000,0,0,100,1,16,0,0,214.42,0.41146931258600544
44000,0,0,100,1,16,0,0,672.98,0.9641765746998838
14000,0,0,100,1,16,0,0,200.78,0.987482157408426
4000,0,0,100,1,16,0,0,66.56,0.18519666519675768
32000,0,0,100,1,16,0,0,506.74,1.7414773718885928
46000,0,0,100,1,16,0,0,728.38,5.47928227591899
26000,0,0,100,1,16,0,0,381.4,0.6606101422170262
21000,0,0,100,1,16,0,0,306.28,0.5021273655159617
33000,0,0,100,1,16,0,0,493.78,1.3319811602271252
7000,0,0,100,1,16,0,0,103.88,0.306863649199445
9000,0,0,100,1,16,0,0,130.98,0.6085223966297383
5000,0,0,100,1,16,0,0,77.76,0.18014948459543254
42000,0,0,100,1,16,0,0,652.02,6.308031552489258
3000,0,0,100,1,16,0,0,57.22,0.33396007426038227
11000,0,0,100,1,16,0,0,165.36,0.74739505805163
35000,0,0,100,1,16,0,0,579.6,2.6971195301654682
17000,0,0,100,1,16,0,0,257.68,0.89808218064941
47000,0,0,100,1,16,0,0,735.58,5.621911428971468
37000,0,0,100,1,16,0,0,556.92,0.8144548822371926
49000,0,0,100,1,16,0,0,759.38,1.1836712462504109
40000,0,0,100,1,16,0,0,608.5,2.0105052897219644
10000,0,0,100,1,16,0,0,142.64,0.2702242268931489
1000,0,0,100,1,16,0,0,28.76,0.28570319704196534
20000,0,0,100,1,16,0,0,292.98,0.8525256519307796
12000,0,0,100,1,16,0,0,176.1,0.7442840318050626
48000,0,0,100,1,16,0,0,783.68,1.521687248812974
24000,0,0,100,1,16,0,0,371.28,1.5709763751247163
27000,0,0,100,1,16,0,0,435,1.5070348104805011
41000,0,0,100,1,16,0,0,683.12,2.25435106831212
16000,0,0,100,1,16,0,0,245.7,0.8320194228502124
22000,0,0,100,1,16,0,0,344.68,1.3864170524052275
36000,0,0,100,1,16,0,0,583.82,2.523877319363997
38000,0,0,100,1,16,0,0,574.64,0.9485428049381844
8000,0,0,100,1,16,0,0,117.36,0.4728761495360069
28000,0,0,100,1,16,0,0,412.92,0.6144279576972386
23000,0,0,100,1,16,0,0,337.28,0.6583733068708058
2000,0,0,100,1,16,0,0,43.76,0.1964698368707013
29000,0,0,100,1,16,0,0,428.22,0.772727358904808
6000,0,0,100,1,16,0,0,90.82,0.20511753508659372
0,0,0,100,1,16,0,0,12.98,0.15171969944605085
30000,0,0,100,1,16,0,0,447.72,0.848098137717564
34000,0,0,100,1,16,0,0,509.02,0.7810347925668873
25000,0,0,100,1,16,0,0,362.2,0.7601162016428806
43000,0,0,100,1,16,0,0,688.18,3.287517763176344
13000,0,0,100,1,16,0,0,194.46,0.4743361980705245
19000,0,0,100,1,16,0,0,287.64,0.6623756130776555
45000,0,0,100,1,16,0,0,751.5,3.0767630262989054
50000,0,0,100,1,16,0,0,897.32,4.323900378500874
18000,0,0,100,1,16,0,0,278.14,0.8588468622519378
