common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
21000,0,0,100,1,16,0,0,106.84,0.5298819309997274
32000,0,0,100,1,16,0,0,180.36,1.4852196648307612
29000,0,0,100,1,16,0,0,165.52,0.8114305313457211
18000,0,0,100,1,16,0,0,95.62,0.414446159591327
3000,0,0,100,1,16,0,0,21.82,0.2195899888428431
31000,0,0,100,1,16,0,0,174.06,0.9876688740666075
38000,0,0,100,1,16,0,0,208.9,1.2668940287174775
16000,0,0,100,1,16,0,0,90.22,0.5524001911657883
42000,0,0,100,1,16,0,0,227.6,1.104577819802661
41000,0,0,100,1,16,0,0,222.04,0.971274435368295
12000,0,0,100,1,16,0,0,62.58,0.32839213632485165
30000,0,0,100,1,16,0,0,169.76,0.8633972415985586
25000,0,0,100,1,16,0,0,149.58,0.7521702700851719
35000,0,0,100,1,16,0,0,196.4,1.6276262961748929
44000,0,0,100,1,16,0,0,236.7,1.2021688400553399
14000,0,0,100,1,16,0,0,81.08,0.402979050572111
7000,0,0,100,1,16,0,0,43.66,0.3354292485756123
33000,0,0,100,1,16,0,0,185.18,1.0644658769542596
39000,0,0,100,1,16,0,0,213.3,0.8628453395597616
46000,0,0,100,1,16,0,0,250.7,2.2321637932732448
48000,0,0,100,1,16,0,0,256.54,1.0149848219554811
4000,0,0,100,1,16,0,0,26.64,0.3988395326443956
19000,0,0,100,1,16,0,0,99.9,0.63511258844397
11000,0,0,100,1,16,0,0,58.74,0.18226946206098263
50000,0,0,100,1,16,0,0,340.38,2.2565652880428697
17000,0,0,100,1,16,0,0,94.26,0.7138491134686655
5000,0,0,100,1,16,0,0,29.94,0.1872595119079402
8000,0,0,100,1,16,0,0,46.96,0.1995738179220911
24000,0,0,100,1,16,0,0,117.68,0.5472297535770507
10000,0,0,100,1,16,0,0,55.64,0.3361157134083439
34000,0,0,100,1,16,0,0,189.26,0.6807946509778113
22000,0,0,100,1,16,0,0,110.16,0.5181522370886763
15000,0,0,100,1,16,0,0,86.52,0.5846979281646206
47000,0,0,100,1,16,0,0,251.8,1.1482321716447412
28000,0,0,100,1,16,0,0,162.28,0.8517141605022188
37000,0,0,100,1,16,0,0,202.26,0.8814510291559026
40000,0,0,100,1,16,0,0,216.6,0.8241328048318431
36000,0,0,100,1,16,0,0,198.26,0.7556759601839926
9000,0,0,100,1,16,0,0,53.76,0.21153476499147836
13000,0,0,100,1,16,0,0,77.94,0.40892195441184137
23000,0,0,100,1,16,0,0,114.22,0.6659155886446867
20000,0,0,100,1,16,0,0,103.78,0.5354496159303876
45000,0,0,100,1,16,0,0,243.1,1.679892663237744
43000,0,0,100,1,16,0,0,232.76,1.0642781952102556
26000,0,0,100,1,16,0,0,156.92,1.4945845025290474
6000,0,0,100,1,16,0,0,33.68,0.15121244393236943
2000,0,0,100,1,16,0,0,18.42,0.14761285580869973
1000,0,0,100,1,16,0,0,15.48,0.16851441244000462
49000,0,0,100,1,16,0,0,261.52,1.0059059136917332
0,0,0,100,1,16,0,0,11.18,0.14338843468006757
27000,0,0,100,1,16,0,0,157.82,0.6433817554143105
