common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,100,0,100,1,1000,600,0,626.68,1.0183553423044436
0,100,0,100,1,1000,3800,0,3200.06,4.344099359453004
0,100,0,100,1,1000,2200,0,1931.6,4.00300910815851
0,100,0,100,1,1000,2600,0,2250.62,2.674744432501917
0,100,0,100,1,1000,1000,0,937.88,1.6092447480728347
0,100,0,100,1,1000,1800,0,1611.46,2.3735980343773466
0,100,0,100,1,1000,2800,0,2394.44,2.6960710162753507
0,100,0,100,1,1000,2400,0,2079.66,3.600263387698183
0,100,0,100,1,1000,3600,0,3058.88,3.9464258081458983
0,100,0,100,1,1000,3400,0,2881,3.0985362221539376
0,100,0,100,1,1000,200,0,318.1,0.855692094155368
0,100,0,100,1,1000,400,0,471.22,0.7255495373852843
0,100,0,100,1,1000,1200,0,1120.4,1.5393176670200341
0,100,0,100,1,1000,3000,0,2567.62,3.037881133158439
0,100,0,100,1,1000,0,0,129.6,1.2158320936708327
0,100,0,100,1,1000,1600,0,1438.06,1.836477117962541
0,100,0,100,1,1000,3200,0,2714.62,3.363391981199932
0,100,0,100,1,1000,2000,0,1751.88,2.3380031520936844
0,100,0,100,1,1000,1400,0,1261.64,1.6236183827488533
0,100,0,100,1,1000,800,0,781.5,1.008971753816726
