common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,100,0,100,1,1000,2000,0,480.78,9.038518695627063
0,100,0,100,1,1000,2200,0,531.84,4.612412659422398
0,100,0,100,1,1000,400,0,166.5,1.5455442018913597
0,100,0,100,1,1000,3400,0,822.14,7.179704462775609
0,100,0,100,1,1000,800,0,244.76,2.005385568114023
0,100,0,100,1,1000,1200,0,326.84,2.6298263024009776
0,100,0,100,1,1000,3800,0,912.94,8.63422335851928
0,100,0,100,1,1000,1000,0,288.02,3.112139326444109
0,100,0,100,1,1000,1600,0,412.02,3.2275148066585215
0,100,0,100,1,1000,0,0,93.4,1.6153063857980632
0,100,0,100,1,1000,3600,0,845.44,7.756878725673104
0,100,0,100,1,1000,1400,0,366.68,2.928971956711092
0,100,0,100,1,1000,3000,0,727.98,6.0979603661552275
0,100,0,100,1,1000,600,0,206.84,1.9540010595698252
0,100,0,100,1,1000,2400,0,582,5.317057712682832
0,100,0,100,1,1000,200,0,129.78,1.6615344387643607
0,100,0,100,1,1000,1800,0,447.8,3.10596618139992
0,100,0,100,1,1000,2800,0,676.66,6.48416109460584
0,100,0,100,1,1000,2600,0,630.6,6.475004691890192
0,100,0,100,1,1000,3200,0,750.22,6.95936137667818
