common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,44000,0,100,1,16,0,0,6849.96,12.873241802622987
0,45000,0,100,1,16,0,0,7029.72,8.950663996106655
0,22000,0,100,1,16,0,0,3373.5,4.266231648656692
0,20000,0,100,1,16,0,0,3009.1,3.110539142978272
0,35000,0,100,1,16,0,0,5405.14,6.603544552193163
0,29000,0,100,1,16,0,0,4414.4,6.194840382124466
0,17000,0,100,1,16,0,0,2572,3.0995279124408603
0,31000,0,100,1,16,0,0,4673.38,4.874339916255326
0,42000,0,100,1,16,0,0,6499.1,8.697851964709445
0,14000,0,100,1,16,0,0,2064.7,9.048367118988928
0,28000,0,100,1,16,0,0,4178.1,5.3493998168018795
0,41000,0,100,1,16,0,0,6165.62,8.02191198276321
0,30000,0,100,1,16,0,0,4518.94,5.54715597444312
0,40000,0,100,1,16,0,0,6023.68,6.1341274263908145
0,0,0,100,1,16,0,0,12.16,0.16028917867404519
0,16000,0,100,1,16,0,0,2393.4,11.086464136053477
0,19000,0,100,1,16,0,0,2841.4,7.192532394087635
0,47000,0,100,1,16,0,0,7274.96,11.441829334018227
0,5000,0,100,1,16,0,0,732.7,1.376193591032889
0,33000,0,100,1,16,0,0,5086.14,6.826657209264282
0,24000,0,100,1,16,0,0,3663.32,4.255842018120502
0,2000,0,100,1,16,0,0,302.6,0.6072837886853226
0,49000,0,100,1,16,0,0,7610.58,11.512271857248678
0,48000,0,100,1,16,0,0,7477.8,10.559726238875703
0,12000,0,100,1,16,0,0,1814.58,8.48226589274352
0,39000,0,100,1,16,0,0,6006.96,7.863086169488414
0,26000,0,100,1,16,0,0,4000.18,4.188603920544409
0,36000,0,100,1,16,0,0,5541.56,9.680758856866541
0,1000,0,100,1,16,0,0,156.52,0.4373567733555751
0,37000,0,100,1,16,0,0,5617.66,8.300522016162601
0,25000,0,100,1,16,0,0,3827.48,4.320629619303187
0,13000,0,100,1,16,0,0,1964.4,10.125747743253333
0,27000,0,100,1,16,0,0,4112.12,4.08720487609809
0,34000,0,100,1,16,0,0,5230.94,6.100711503160922
0,3000,0,100,1,16,0,0,446.8,0.983912191204073
0,38000,0,100,1,16,0,0,5737.78,6.815456343576708
0,11000,0,100,1,16,0,0,1632.48,6.3252428117187725
0,18000,0,100,1,16,0,0,2666.28,4.560036777395551
0,9000,0,100,1,16,0,0,1328.42,7.009041118098823
0,23000,0,100,1,16,0,0,3527.76,5.138807526732248
0,4000,0,100,1,16,0,0,605.86,2.688565657148808
0,50000,0,100,1,16,0,0,7742.72,11.310682980757615
0,8000,0,100,1,16,0,0,1207.48,5.183965461613338
0,43000,0,100,1,16,0,0,6763.54,8.384441073130633
0,6000,0,100,1,16,0,0,891.48,3.3885854965162077
0,32000,0,100,1,16,0,0,4946.06,6.292890658894367
0,7000,0,100,1,16,0,0,1042.28,4.2909373581071995
0,46000,0,100,1,16,0,0,7178.02,11.993981663617797
0,21000,0,100,1,16,0,0,3237.72,6.891409055570565
0,15000,0,100,1,16,0,0,2263.82,9.600189644126829
0,10000,0,100,1,16,0,0,1492.22,7.364654553419324
