common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,100,0,100,1,1000,0,3200,2733.9,3.396290352723099
0,100,0,100,1,1000,0,1000,947.86,1.3958833234908994
0,100,0,100,1,1000,0,2400,2094.92,2.8794474669977936
0,100,0,100,1,1000,0,2600,2269.3,2.6766740556145425
0,100,0,100,1,1000,0,800,788.18,1.2014528218785785
0,100,0,100,1,1000,0,400,476.44,0.9459472526520705
0,100,0,100,1,1000,0,1200,1134.4,4.604957328792528
0,100,0,100,1,1000,0,3800,3227.6,3.9450082281283
0,100,0,100,1,1000,0,0,130.8,0.8109759059306267
0,100,0,100,1,1000,0,3400,2907.08,4.0597424690736235
0,100,0,100,1,1000,0,600,633.08,1.01593816504746
0,100,0,100,1,1000,0,2000,1764.96,2.30378636787355
0,100,0,100,1,1000,0,2200,1942.98,2.030461619238344
0,100,0,100,1,1000,0,2800,2419.72,6.353554574503945
0,100,0,100,1,1000,0,3600,3075.3,3.1987055882028286
0,100,0,100,1,1000,0,1600,1444.78,1.8522072592450334
0,100,0,100,1,1000,0,200,322.94,1.459809263157348
0,100,0,100,1,1000,0,1800,1616.62,2.095561752657268
0,100,0,100,1,1000,0,3000,2582.7,3.232158263451838
0,100,0,100,1,1000,0,1400,1272.08,1.7370864213389037
