common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,100,0,100,1,1000,0,200,123.98,2.464610960618328
0,100,0,100,1,1000,0,2000,376.12,1.845849706557931
0,100,0,100,1,1000,0,600,177.46,1.6297114188714512
0,100,0,100,1,1000,0,0,94.26,1.6573860132147855
0,100,0,100,1,1000,0,1000,231.24,1.754444161778882
0,100,0,100,1,1000,0,3800,620.44,1.8858092917365743
0,100,0,100,1,1000,0,2800,487.3,1.9325639756551396
0,100,0,100,1,1000,0,1800,346.04,1.7274350780275363
0,100,0,100,1,1000,0,3400,568.06,2.484432789350519
0,100,0,100,1,1000,0,3600,598.22,1.5829132797471877
0,100,0,100,1,1000,0,1600,328.16,1.8876010968422328
0,100,0,100,1,1000,0,1200,265.12,1.9112884500252703
0,100,0,100,1,1000,0,2600,457.32,1.8010171135222457
0,100,0,100,1,1000,0,3200,540.08,1.6767705493596907
0,100,0,100,1,1000,0,3000,511.68,2.1473873062864093
0,100,0,100,1,1000,0,2400,430.3,1.7940157412910285
0,100,0,100,1,1000,0,800,205,1.6426624242369459
0,100,0,100,1,1000,0,400,151.14,1.8758828142504007
0,100,0,100,1,1000,0,1400,289.24,1.3031391317890815
0,100,0,100,1,1000,0,2200,402.98,1.6421852718862133
