symbols,lld,rld
1000,6686,2262
2000,6870,2200
3000,6885,2140
4000,6917,2291
5000,7014,2264
6000,7033,2178
7000,7056,2190
8000,7124,2291
9000,7160,2210
10000,7219,2165
11000,7251,2263
12000,7300,2247
13000,7396,2329
14000,7399,2273
15000,7566,2181
16000,7447,2263
17000,7611,2219
18000,7592,2258
19000,7599,2262
20000,7681,2229
21000,7773,2362
22000,7750,2210
23000,7814,2292
24000,7827,2235
25000,7994,2293
26000,7961,2284
27000,8012,2423
28000,8085,2401
29000,8062,2176
30000,8103,2274
31000,8190,2317
32000,8212,2208
33000,8307,2356
34000,8339,2244
35000,8399,2269
36000,8434,2218
37000,8460,2229
38000,8536,2306
39000,8553,2267
40000,8574,2348
41000,8623,2318
42000,8690,2234
43000,8694,2364
44000,8869,2293
45000,8829,2305
46000,8846,2370
47000,8900,2343
48000,8915,2338
49000,9001,2363
50000,9160,2319

