common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,0,30000,100,1,16,0,0,834.98,1.6421852718862133
0,0,16000,100,1,16,0,0,417.7,0.8320194228502124
0,0,37000,100,1,16,0,0,1044.96,2.9423301699163504
0,0,36000,100,1,16,0,0,1026.46,1.8735877745117795
0,0,7000,100,1,16,0,0,193.38,5.06359921194401
0,0,21000,100,1,16,0,0,555.56,0.7482170038164064
0,0,20000,100,1,16,0,0,528.82,0.8881893059477809
0,0,28000,100,1,16,0,0,784.14,1.4155597100793729
0,0,12000,100,1,16,0,0,314,0.6148279759412383
0,0,33000,100,1,16,0,0,918.48,2.1450962093109
0,0,6000,100,1,16,0,0,167.14,4.348554078403533
0,0,22000,100,1,16,0,0,588.6,1.2107661045800708
0,0,9000,100,1,16,0,0,247.74,6.516594134730197
0,0,18000,100,1,16,0,0,474.26,0.8814510291559021
0,0,0,100,1,16,0,0,12.12,0.09007474229771628
0,0,23000,100,1,16,0,0,628.36,1.0789047839360055
0,0,43000,100,1,16,0,0,1239.78,2.355453597759888
0,0,31000,100,1,16,0,0,872.34,1.7217771693224417
0,0,46000,100,1,16,0,0,1338.68,3.705774855978165
0,0,1000,100,1,16,0,0,49.22,0.22374925966357975
0,0,24000,100,1,16,0,0,655.28,1.0504429785571419
0,0,41000,100,1,16,0,0,1170.08,2.1999827897508664
0,0,26000,100,1,16,0,0,714.84,1.7507617030309972
0,0,8000,100,1,16,0,0,218.4,5.759866109554979
0,0,34000,100,1,16,0,0,948.32,1.9744040324107925
0,0,29000,100,1,16,0,0,803.16,1.799241568217008
0,0,47000,100,1,16,0,0,1373.52,2.7924270710620167
0,0,4000,100,1,16,0,0,117.42,0.27209431306074733
0,0,44000,100,1,16,0,0,1285.42,2.367686490057331
0,0,13000,100,1,16,0,0,340.78,0.7806412051640627
0,0,2000,100,1,16,0,0,75,0.3677285955701568
0,0,19000,100,1,16,0,0,499.76,0.823311992381988
0,0,3000,100,1,16,0,0,91.36,0.2200792875306534
0,0,15000,100,1,16,0,0,392.12,0.682665495832329
0,0,35000,100,1,16,0,0,983.92,2.3322122277357185
0,0,45000,100,1,16,0,0,1300.26,2.6585635363481526
0,0,39000,100,1,16,0,0,1115.22,2.3199578727209684
0,0,17000,100,1,16,0,0,446.7,1.0043924332650063
0,0,48000,100,1,16,0,0,1406.72,3.032387951961291
0,0,25000,100,1,16,0,0,677.42,1.6352462185249046
0,0,42000,100,1,16,0,0,1197.26,2.4654338191888243
0,0,38000,100,1,16,0,0,1075.2,2.344802320026146
0,0,40000,100,1,16,0,0,1137.56,1.9702904265107721
0,0,32000,100,1,16,0,0,895.06,1.4192457309430249
0,0,27000,100,1,16,0,0,748,1.7319126074949625
0,0,5000,100,1,16,0,0,141.08,2.8831806525432984
0,0,10000,100,1,16,0,0,271.06,7.670671785756445
0,0,50000,100,1,16,0,0,1560.28,2.6777014716356997
0,0,11000,100,1,16,0,0,289.14,0.4435320200391399
0,0,49000,100,1,16,0,0,1440.08,3.033299951406061
0,0,14000,100,1,16,0,0,365.92,0.8144548822371928
