common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,0,17000,100,1,16,0,0,98.58,0.7703373515544992
0,0,25000,100,1,16,0,0,170.88,1.0715877655143329
0,0,11000,100,1,16,0,0,64.92,0.2469288869290103
0,0,20000,100,1,16,0,0,112.32,0.5124266222592261
0,0,6000,100,1,16,0,0,38.12,0.9564157355460023
0,0,40000,100,1,16,0,0,265.92,0.9820988724156032
0,0,4000,100,1,16,0,0,26.7,0.3291399702254346
0,0,32000,100,1,16,0,0,208.34,1.5764152183990106
0,0,41000,100,1,16,0,0,272.18,1.7316375380546591
0,0,13000,100,1,16,0,0,80.36,0.5281390847115939
0,0,3000,100,1,16,0,0,22.32,0.1293005924193698
0,0,43000,100,1,16,0,0,289.76,1.2648425343891618
0,0,50000,100,1,16,0,0,423.9,2.7647813078071843
0,0,46000,100,1,16,0,0,315.5,0.9313609826485109
0,0,35000,100,1,16,0,0,229.02,2.004565505839108
0,0,34000,100,1,16,0,0,221.88,1.5137901106824554
0,0,21000,100,1,16,0,0,116.84,1.027249444292865
0,0,22000,100,1,16,0,0,122.18,0.86895003492721
0,0,16000,100,1,16,0,0,93.04,0.6487807247445008
0,0,47000,100,1,16,0,0,324.8,0.9342438225645382
0,0,29000,100,1,16,0,0,190.26,1.663863382853293
0,0,1000,100,1,16,0,0,13.44,0.15836023743351746
0,0,15000,100,1,16,0,0,88.7,0.6002849989796515
0,0,30000,100,1,16,0,0,195.52,1.5235038520463284
0,0,27000,100,1,16,0,0,179.14,1.2383850179972296
0,0,37000,100,1,16,0,0,242.4,1.7104860595748796
0,0,5000,100,1,16,0,0,32.3,0.34731288487471906
0,0,12000,100,1,16,0,0,70.64,0.3406567962040385
0,0,23000,100,1,16,0,0,126.12,0.9864701613328206
0,0,42000,100,1,16,0,0,281.32,1.4640452189737863
0,0,31000,100,1,16,0,0,202.3,1.3086578162376905
0,0,44000,100,1,16,0,0,298.72,1.8544873284010321
0,0,49000,100,1,16,0,0,343.98,0.7985454697135289
0,0,33000,100,1,16,0,0,213.3,1.364982051164044
0,0,0,100,1,16,0,0,9.46,0.8094776271151662
0,0,45000,100,1,16,0,0,308.9,2.166487221287032
0,0,18000,100,1,16,0,0,103.04,0.8388433636859745
0,0,19000,100,1,16,0,0,110.72,1.1004522939228212
0,0,28000,100,1,16,0,0,183.5,0.9197392674013652
0,0,38000,100,1,16,0,0,249.24,1.589955092699162
0,0,8000,100,1,16,0,0,49.9,0.40832026645759334
0,0,2000,100,1,16,0,0,17.42,0.13680743839426268
0,0,39000,100,1,16,0,0,258.88,1.695725124894952
0,0,48000,100,1,16,0,0,335.42,1.0087280481874195
0,0,7000,100,1,16,0,0,46.1,0.4045394418347859
0,0,10000,100,1,16,0,0,59.88,0.5009017660180487
0,0,26000,100,1,16,0,0,173.86,1.2421019655406709
0,0,9000,100,1,16,0,0,54.9,0.49970391233209294
0,0,24000,100,1,16,0,0,131.98,0.9815510925061414
0,0,36000,100,1,16,0,0,238.46,1.316804962323578
0,0,14000,100,1,16,0,0,93.22,7.275437628844053
