external,linkonce,time
1000,1000,166
1000,2000,192
1000,3000,333
1000,4000,372
1000,5000,415
1000,6000,455
1000,7000,491
1000,8000,531
1000,9000,552
1000,10000,592
1000,11000,443
1000,12000,465
1000,13000,491
1000,14000,513
1000,15000,543
1000,16000,568
1000,17000,600
1000,18000,647
1000,19000,672
1000,20000,707
1000,21000,722
1000,22000,766
1000,23000,796
1000,24000,843
1000,25000,891
1000,26000,938
1000,27000,964
1000,28000,997
1000,29000,1060
1000,30000,1072
1000,31000,1110
1000,32000,1147
1000,33000,1173
1000,34000,1216
1000,35000,1236
1000,36000,1282
1000,37000,1338
1000,38000,1355
1000,39000,1389
1000,40000,1443
1000,41000,1463
1000,42000,1503
1000,43000,1527
1000,44000,1561
1000,45000,1639
1000,46000,1630
1000,47000,1679
1000,48000,1759
1000,49000,1773
1000,50000,1896
2000,1000,381
2000,2000,426
2000,3000,454
2000,4000,493
2000,5000,547
2000,6000,563
2000,7000,609
2000,8000,656
2000,9000,691
2000,10000,541
2000,11000,574
2000,12000,628
2000,13000,642
2000,14000,666
2000,15000,696
2000,16000,718
2000,17000,818
2000,18000,797
2000,19000,816
2000,20000,846
2000,21000,928
2000,22000,923
2000,23000,961
2000,24000,1055
2000,25000,1057
2000,26000,1112
2000,27000,1138
2000,28000,1175
2000,29000,1207
2000,30000,1248
2000,31000,1283
2000,32000,1316
2000,33000,1348
2000,34000,1411
2000,35000,1425
2000,36000,1470
2000,37000,1499
2000,38000,1538
2000,39000,1566
2000,40000,1614
2000,41000,1654
2000,42000,1703
2000,43000,1706
2000,44000,1785
2000,45000,1809
2000,46000,1844
2000,47000,1888
2000,48000,1908
2000,49000,1964
2000,50000,2173
3000,1000,541
3000,2000,614
3000,3000,662
3000,4000,707
3000,5000,736
3000,6000,777
3000,7000,842
3000,8000,843
3000,9000,639
3000,10000,709
3000,11000,707
3000,12000,733
3000,13000,778
3000,14000,815
3000,15000,842
3000,16000,873
3000,17000,901
3000,18000,933
3000,19000,973
3000,20000,1012
3000,21000,1036
3000,22000,1139
3000,23000,1144
3000,24000,1158
3000,25000,1235
3000,26000,1279
3000,27000,1307
3000,28000,1340
3000,29000,1369
3000,30000,1410
3000,31000,1467
3000,32000,1485
3000,33000,1520
3000,34000,1573
3000,35000,1667
3000,36000,1633
3000,37000,1674
3000,38000,1727
3000,39000,1777
3000,40000,1777
3000,41000,1824
3000,42000,1883
3000,43000,1903
3000,44000,1941
3000,45000,1978
3000,46000,2012
3000,47000,2070
3000,48000,2088
3000,49000,2165
3000,50000,2339
4000,1000,704
4000,2000,788
4000,3000,824
4000,4000,869
4000,5000,928
4000,6000,930
4000,7000,1025
4000,8000,1059
4000,9000,806
4000,10000,833
4000,11000,863
4000,12000,887
4000,13000,928
4000,14000,956
4000,15000,998
4000,16000,1022
4000,17000,1072
4000,18000,1147
4000,19000,1133
4000,20000,1178
4000,21000,1196
4000,22000,1259
4000,23000,1294
4000,24000,1329
4000,25000,1409
4000,26000,1431
4000,27000,1476
4000,28000,1529
4000,29000,1540
4000,30000,1577
4000,31000,1646
4000,32000,1664
4000,33000,1686
4000,34000,1746
4000,35000,1764
4000,36000,1817
4000,37000,1855
4000,38000,1885
4000,39000,1940
4000,40000,1974
4000,41000,1998
4000,42000,2034
4000,43000,2085
4000,44000,2159
4000,45000,2148
4000,46000,2179
4000,47000,2272
4000,48000,2312
4000,49000,2337
4000,50000,2488
5000,1000,823
5000,2000,907
5000,3000,976
5000,4000,980
5000,5000,1060
5000,6000,1101
5000,7000,1175
5000,8000,898
5000,9000,921
5000,10000,939
5000,11000,972
5000,12000,999
5000,13000,1035
5000,14000,1098
5000,15000,1125
5000,16000,1200
5000,17000,1182
5000,18000,1211
5000,19000,1273
5000,20000,1322
5000,21000,1360
5000,22000,1400
5000,23000,1449
5000,24000,1495
5000,25000,1609
5000,26000,1623
5000,27000,1654
5000,28000,1709
5000,29000,1707
5000,30000,1753
5000,31000,1770
5000,32000,1825
5000,33000,1838
5000,34000,1910
5000,35000,1960
5000,36000,1994
5000,37000,2019
5000,38000,2041
5000,39000,2077
5000,40000,2102
5000,41000,2162
5000,42000,2215
5000,43000,2225
5000,44000,2306
5000,45000,2353
5000,46000,2326
5000,47000,2408
5000,48000,2435
5000,49000,2523
5000,50000,2687
6000,1000,995
6000,2000,1091
6000,3000,1110
6000,4000,1169
6000,5000,1257
6000,6000,1300
6000,7000,1022
6000,8000,1037
6000,9000,1118
6000,10000,1092
6000,11000,1141
6000,12000,1164
6000,13000,1199
6000,14000,1289
6000,15000,1283
6000,16000,1314
6000,17000,1347
6000,18000,1400
6000,19000,1450
6000,20000,1491
6000,21000,1541
6000,22000,1584
6000,23000,1604
6000,24000,1613
6000,25000,1701
6000,26000,1745
6000,27000,1802
6000,28000,1834
6000,29000,1884
6000,30000,1916
6000,31000,1936
6000,32000,1988
6000,33000,2049
6000,34000,2045
6000,35000,2080
6000,36000,2137
6000,37000,2147
6000,38000,2233
6000,39000,2221
6000,40000,2270
6000,41000,2317
6000,42000,2344
6000,43000,2372
6000,44000,2403
6000,45000,2442
6000,46000,2594
6000,47000,2605
6000,48000,2635
6000,49000,2713
6000,50000,2824
7000,1000,1119
7000,2000,1205
7000,3000,1222
7000,4000,1348
7000,5000,1370
7000,6000,1446
7000,7000,1149
7000,8000,1182
7000,9000,1194
7000,10000,1236
7000,11000,1297
7000,12000,1293
7000,13000,1331
7000,14000,1390
7000,15000,1433
7000,16000,1467
7000,17000,1510
7000,18000,1526
7000,19000,1614
7000,20000,1634
7000,21000,1679
7000,22000,1702
7000,23000,1723
7000,24000,1763
7000,25000,1873
7000,26000,1898
7000,27000,1996
7000,28000,2018
7000,29000,2049
7000,30000,2200
7000,31000,2149
7000,32000,2191
7000,33000,2205
7000,34000,2195
7000,35000,2329
7000,36000,2361
7000,37000,2397
7000,38000,2474
7000,39000,2505
7000,40000,2514
7000,41000,2539
7000,42000,2705
7000,43000,2672
7000,44000,2618
7000,45000,2830
7000,46000,2970
7000,47000,2805
7000,48000,2760
7000,49000,2838
7000,50000,2895
8000,1000,1283
8000,2000,1307
8000,3000,1441
8000,4000,1468
8000,5000,1539
8000,6000,1230
8000,7000,1281
8000,8000,1306
8000,9000,1323
8000,10000,1348
8000,11000,1416
8000,12000,1431
8000,13000,1489
8000,14000,1530
8000,15000,1555
8000,16000,1581
8000,17000,1634
8000,18000,1729
8000,19000,1769
8000,20000,1811
8000,21000,1890
8000,22000,1925
8000,23000,1989
8000,24000,2039
8000,25000,2123
8000,26000,2084
8000,27000,2138
8000,28000,2173
8000,29000,2205
8000,30000,2284
8000,31000,2351
8000,32000,2413
8000,33000,2451
8000,34000,2495
8000,35000,2440
8000,36000,2449
8000,37000,2501
8000,38000,2532
8000,39000,2578
8000,40000,2647
8000,41000,2637
8000,42000,2698
8000,43000,2781
8000,44000,2809
8000,45000,2851
8000,46000,2892
8000,47000,2908
8000,48000,3004
8000,49000,3000
8000,50000,3117
9000,1000,1426
9000,2000,1505
9000,3000,1556
9000,4000,1638
9000,5000,1361
9000,6000,1384
9000,7000,1423
9000,8000,1448
9000,9000,1476
9000,10000,1528
9000,11000,1552
9000,12000,1586
9000,13000,1618
9000,14000,1666
9000,15000,1686
9000,16000,1750
9000,17000,1771
9000,18000,1855
9000,19000,1930
9000,20000,2057
9000,21000,2112
9000,22000,2143
9000,23000,2176
9000,24000,2188
9000,25000,2268
9000,26000,2273
9000,27000,2316
9000,28000,2331
9000,29000,2438
9000,30000,2455
9000,31000,2497
9000,32000,2534
9000,33000,2416
9000,34000,2480
9000,35000,2556
9000,36000,2604
9000,37000,2681
9000,38000,2670
9000,39000,2690
9000,40000,2738
9000,41000,2766
9000,42000,2829
9000,43000,2916
9000,44000,2981
9000,45000,3043
9000,46000,3006
9000,47000,3066
9000,48000,3135
9000,49000,3135
9000,50000,3228
10000,1000,1529
10000,2000,1595
10000,3000,1748
10000,4000,1756
10000,5000,1463
10000,6000,1514
10000,7000,1569
10000,8000,1585
10000,9000,1604
10000,10000,1645
10000,11000,1666
10000,12000,1722
10000,13000,1742
10000,14000,1798
10000,15000,1838
10000,16000,1924
10000,17000,1977
10000,18000,2010
10000,19000,2046
10000,20000,2076
10000,21000,2125
10000,22000,2153
10000,23000,2199
10000,24000,2224
10000,25000,2319
10000,26000,2371
10000,27000,2382
10000,28000,2450
10000,29000,2450
10000,30000,2518
10000,31000,2548
10000,32000,2594
10000,33000,2643
10000,34000,2697
10000,35000,2716
10000,36000,2766
10000,37000,2807
10000,38000,2842
10000,39000,2859
10000,40000,2905
10000,41000,2933
10000,42000,3052
10000,43000,3047
10000,44000,15151
10000,45000,3115
10000,46000,3134
10000,47000,3164
10000,48000,3250
10000,49000,3270
10000,50000,3433
11000,1000,1699
11000,2000,1816
11000,3000,1860
11000,4000,1580
11000,5000,1631
11000,6000,1721
11000,7000,1771
11000,8000,1822
11000,9000,1838
11000,10000,1880
11000,11000,1924
11000,12000,1955
11000,13000,2049
11000,14000,2088
11000,15000,2169
11000,16000,2175
11000,17000,2202
11000,18000,2257
11000,19000,2232
11000,20000,2257
11000,21000,2298
11000,22000,2322
11000,23000,2329
11000,24000,2398
11000,25000,2667
11000,26000,2571
11000,27000,2554
11000,28000,2600
11000,29000,2657
11000,30000,2662
11000,31000,2739
11000,32000,2775
11000,33000,2796
11000,34000,2863
11000,35000,2874
11000,36000,2914
11000,37000,2964
11000,38000,3011
11000,39000,3055
11000,40000,3078
11000,41000,3167
11000,42000,3213
11000,43000,3219
11000,44000,3260
11000,45000,3299
11000,46000,3341
11000,47000,3409
11000,48000,3423
11000,49000,3465
11000,50000,3624
12000,1000,1857
12000,2000,1977
12000,3000,1706
12000,4000,1736
12000,5000,1761
12000,6000,1794
12000,7000,1836
12000,8000,1870
12000,9000,1911
12000,10000,1956
12000,11000,1990
12000,12000,2037
12000,13000,2078
12000,14000,2152
12000,15000,2209
12000,16000,2361
12000,17000,2396
12000,18000,2424
12000,19000,2477
12000,20000,2487
12000,21000,2515
12000,22000,2602
12000,23000,2608
12000,24000,2682
12000,25000,2758
12000,26000,2722
12000,27000,2857
12000,28000,2920
12000,29000,2792
12000,30000,2975
12000,31000,2999
12000,32000,2850
12000,33000,2900
12000,34000,2947
12000,35000,2971
12000,36000,3018
12000,37000,3023
12000,38000,3086
12000,39000,3192
12000,40000,3228
12000,41000,3261
12000,42000,3309
12000,43000,3314
12000,44000,3407
12000,45000,3410
