common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
0,0,0,1601,1,16,0,0,31.2,0.1568
0,0,0,2001,1,16,0,0,37.2,0.1838642977850784
0,0,0,801,1,16,0,0,19.7,0.14926915287493253
0,0,0,1201,1,16,0,0,25.42,0.13680743839426268
0,0,0,3001,1,16,0,0,52.82,0.16342216251169842
0,0,0,1701,1,16,0,0,33.1,0.20927073373981378
0,0,0,4401,1,16,0,0,75.52,0.3147738032301925
0,0,0,3101,1,16,0,0,54.46,0.20148952528605552
0,0,0,901,1,16,0,0,21.2,0.12396128427860048
0,0,0,1001,1,16,0,0,22.66,0.17185523209957854
0,0,0,301,1,16,0,0,12.9,0.14926915287493256
0,0,0,1101,1,16,0,0,24.16,0.13980722728099576
0,0,0,3501,1,16,0,0,61.1,0.20179435076334515
0,0,0,2201,1,16,0,0,40.92,0.22063715734209405
0,0,0,4901,1,16,0,0,83.98,0.33943669100437557
0,0,0,3901,1,16,0,0,67.94,0.20300907565919313
0,0,0,2301,1,16,0,0,44.78,0.7627195888398307
0,0,0,601,1,16,0,0,17.24,0.21153476499147844
0,0,0,4601,1,16,0,0,79.42,0.429736425265534
0,0,0,2401,1,16,0,0,43.98,0.2181859463851877
0,0,0,1401,1,16,0,0,28.52,0.15913461974064602
0,0,0,3301,1,16,0,0,59.34,0.3016617655587131
0,0,0,701,1,16,0,0,19.86,0.4435320200391396
0,0,0,4701,1,16,0,0,81.12,0.275182883188617
0,0,0,401,1,16,0,0,14.26,0.12158320936708322
0,0,0,3701,1,16,0,0,64.4,0.18386429778507835
0,0,0,4501,1,16,0,0,79.28,0.7417816735401324
0,0,0,3801,1,16,0,0,66.24,0.23230754787565552
0,0,0,3601,1,16,0,0,63.02,0.2447411432513953
0,0,0,2101,1,16,0,0,39.06,0.16076779777057346
0,0,0,501,1,16,0,0,15.7,0.16860557523403544
0,0,0,4001,1,16,0,0,69.26,0.2528931727034164
0,0,0,4301,1,16,0,0,75.02,0.9799843198745577
0,0,0,1501,1,16,0,0,30.16,0.16028917867404524
0,0,0,2801,1,16,0,0,50.22,0.21677281010311236
0,0,0,3201,1,16,0,0,56.64,0.233626738195781
0,0,0,4801,1,16,0,0,83.36,0.6216877775861455
0,0,0,1,1,16,0,0,8.54,0.13814871986377578
0,0,0,1801,1,16,0,0,34.92,0.27629743972755155
0,0,0,101,1,16,0,0,10,0.12396128427860045
0,0,0,201,1,16,0,0,11.42,0.1368074383942627
0,0,0,1901,1,16,0,0,36.36,0.17319126074949628
0,0,0,2501,1,16,0,0,45.78,0.20956424122449904
0,0,0,3401,1,16,0,0,59.94,0.1872595119079402
0,0,0,4101,1,16,0,0,73.3,0.5438779274800553
0,0,0,2901,1,16,0,0,51.76,0.1964698368707013
0,0,0,1301,1,16,0,0,27.1,0.1385929291125633
0,0,0,4201,1,16,0,0,73.06,0.20300907565919313
0,0,0,2601,1,16,0,0,46.94,0.17886543768990143
0,0,0,2701,1,16,0,0,48.7,0.20179435076334518
