common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
1000,1000,1000,20,5001,16,0,0,733.14,16.409497386964656
1000,1000,1000,20,4001,16,0,0,594.62,1.0974459891949127
1000,1000,1000,20,9001,16,0,0,1240.46,2.361265615893308
1000,1000,1000,20,1001,16,0,0,198.16,0.6998270506346549
1000,1000,1000,20,2001,16,0,0,335.02,0.8100089797033119
1000,1000,1000,20,1,16,0,0,56.62,0.3915685625787649
1000,1000,1000,20,7001,16,0,0,986.52,1.5123683106968355
1000,1000,1000,20,6001,16,0,0,853.26,1.6555306813224568
1000,1000,1000,20,8001,16,0,0,1112.58,1.953002067382418
1000,1000,1000,20,3001,16,0,0,466.38,1.0790899217396115
