common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
1000,1000,1000,20,5001,16,0,0,144.9,4.210397529925173
1000,1000,1000,20,4001,16,0,0,115.58,1.6380628911003388
1000,1000,1000,20,9001,16,0,0,251.58,2.8811813332728637
1000,1000,1000,20,1001,16,0,0,49.48,0.9395578466491566
1000,1000,1000,20,2001,16,0,0,71.3,1.1710897489091086
1000,1000,1000,20,1,16,0,0,26.36,0.2813675404164452
1000,1000,1000,20,7001,16,0,0,198.9,2.258852168690993
1000,1000,1000,20,6001,16,0,0,173.18,2.2875408462364124
1000,1000,1000,20,8001,16,0,0,226.42,2.4011975918695234
1000,1000,1000,20,3001,16,0,0,95.62,1.6941385596225584
