external,linkonce,time
1000,1000,154
1000,2000,54
1000,3000,65
1000,4000,64
1000,5000,69
1000,6000,69
1000,7000,74
1000,8000,87
1000,9000,78
1000,10000,87
1000,11000,86
1000,12000,97
1000,13000,105
1000,14000,109
1000,15000,113
1000,16000,120
1000,17000,123
1000,18000,129
1000,19000,135
1000,20000,135
1000,21000,144
1000,22000,191
1000,23000,149
1000,24000,164
1000,25000,168
1000,26000,173
1000,27000,181
1000,28000,184
1000,29000,187
1000,30000,192
1000,31000,196
1000,32000,204
1000,33000,210
1000,34000,210
1000,35000,214
1000,36000,221
1000,37000,227
1000,38000,228
1000,39000,235
1000,40000,239
1000,41000,245
1000,42000,249
1000,43000,253
1000,44000,261
1000,45000,264
1000,46000,266
1000,47000,273
1000,48000,277
1000,49000,309
1000,50000,318
2000,1000,108
2000,2000,107
2000,3000,100
2000,4000,114
2000,5000,115
2000,6000,113
2000,7000,185
2000,8000,122
2000,9000,179
2000,10000,135
2000,11000,132
2000,12000,147
2000,13000,147
2000,14000,147
2000,15000,155
2000,16000,162
2000,17000,164
2000,18000,165
2000,19000,173
2000,20000,247
2000,21000,196
2000,22000,182
2000,23000,200
2000,24000,203
2000,25000,211
2000,26000,220
2000,27000,216
2000,28000,222
2000,29000,228
2000,30000,229
2000,31000,234
2000,32000,240
2000,33000,245
2000,34000,249
2000,35000,252
2000,36000,257
2000,37000,263
2000,38000,269
2000,39000,272
2000,40000,274
2000,41000,284
2000,42000,343
2000,43000,289
2000,44000,293
2000,45000,300
2000,46000,302
2000,47000,305
2000,48000,341
2000,49000,344
2000,50000,356
3000,1000,130
3000,2000,153
3000,3000,192
3000,4000,144
3000,5000,145
3000,6000,156
3000,7000,152
3000,8000,153
3000,9000,168
3000,10000,171
3000,11000,220
3000,12000,171
3000,13000,177
3000,14000,182
3000,15000,197
3000,16000,196
3000,17000,195
3000,18000,254
3000,19000,255
3000,20000,205
3000,21000,212
3000,22000,226
3000,23000,235
3000,24000,238
3000,25000,237
3000,26000,247
3000,27000,251
3000,28000,259
3000,29000,260
3000,30000,266
3000,31000,267
3000,32000,278
3000,33000,275
3000,34000,279
3000,35000,279
3000,36000,286
3000,37000,293
3000,38000,295
3000,39000,295
3000,40000,300
3000,41000,344
3000,42000,314
3000,43000,317
3000,44000,316
3000,45000,322
3000,46000,329
3000,47000,365
3000,48000,369
3000,49000,379
3000,50000,382
4000,1000,187
4000,2000,182
4000,3000,189
4000,4000,196
4000,5000,185
4000,6000,198
4000,7000,192
4000,8000,196
4000,9000,201
4000,10000,224
4000,11000,213
4000,12000,220
4000,13000,219
4000,14000,228
4000,15000,227
4000,16000,241
4000,17000,301
4000,18000,238
4000,19000,265
4000,20000,257
4000,21000,258
4000,22000,276
4000,23000,270
4000,24000,272
4000,25000,279
4000,26000,282
4000,27000,289
4000,28000,285
4000,29000,291
4000,30000,301
4000,31000,299
4000,32000,312
4000,33000,313
4000,34000,312
4000,35000,321
4000,36000,315
4000,37000,321
4000,38000,326
4000,39000,407
4000,40000,409
4000,41000,342
4000,42000,352
4000,43000,371
4000,44000,372
4000,45000,366
4000,46000,427
4000,47000,415
4000,48000,429
4000,49000,409
4000,50000,425
5000,1000,238
5000,2000,305
5000,3000,228
5000,4000,316
5000,5000,241
5000,6000,236
5000,7000,232
5000,8000,314
5000,9000,249
5000,10000,243
5000,11000,242
5000,12000,256
5000,13000,250
5000,14000,257
5000,15000,333
5000,16000,269
5000,17000,275
5000,18000,290
5000,19000,283
5000,20000,302
5000,21000,303
5000,22000,303
5000,23000,299
5000,24000,304
5000,25000,329
5000,26000,316
5000,27000,319
5000,28000,324
5000,29000,325
5000,30000,336
5000,31000,338
5000,32000,341
5000,33000,341
5000,34000,359
5000,35000,349
5000,36000,365
5000,37000,446
5000,38000,435
5000,39000,379
5000,40000,385
5000,41000,401
5000,42000,386
5000,43000,385
5000,44000,388
5000,45000,426
5000,46000,432
5000,47000,434
5000,48000,447
5000,49000,461
5000,50000,453
6000,1000,267
6000,2000,266
6000,3000,270
6000,4000,281
6000,5000,291
6000,6000,278
6000,7000,271
6000,8000,307
6000,9000,279
6000,10000,283
6000,11000,286
6000,12000,286
6000,13000,367
6000,14000,368
6000,15000,299
6000,16000,297
6000,17000,313
6000,18000,311
6000,19000,322
6000,20000,342
6000,21000,351
6000,22000,340
6000,23000,343
6000,24000,342
6000,25000,342
6000,26000,343
6000,27000,360
6000,28000,375
6000,29000,379
6000,30000,371
6000,31000,377
6000,32000,387
6000,33000,411
6000,34000,392
6000,35000,507
6000,36000,462
6000,37000,449
6000,38000,419
6000,39000,406
6000,40000,391
6000,41000,415
6000,42000,423
6000,43000,427
6000,44000,451
6000,45000,465
6000,46000,473
6000,47000,465
6000,48000,458
6000,49000,535
6000,50000,487
7000,1000,312
7000,2000,308
7000,3000,348
7000,4000,311
7000,5000,310
7000,6000,330
7000,7000,322
7000,8000,352
7000,9000,315
7000,10000,331
7000,11000,393
7000,12000,376
7000,13000,346
7000,14000,357
7000,15000,329
7000,16000,350
7000,17000,372
7000,18000,354
7000,19000,353
7000,20000,374
7000,21000,365
7000,22000,379
7000,23000,384
7000,24000,392
7000,25000,399
7000,26000,405
7000,27000,405
7000,28000,403
7000,29000,409
7000,30000,422
7000,31000,412
7000,32000,423
7000,33000,478
7000,34000,450
7000,35000,522
7000,36000,450
7000,37000,453
7000,38000,449
7000,39000,463
7000,40000,453
7000,41000,459
7000,42000,477
7000,43000,488
7000,44000,505
7000,45000,495
7000,46000,493
7000,47000,510
7000,48000,504
7000,49000,531
7000,50000,522
8000,1000,352
8000,2000,339
8000,3000,386
8000,4000,423
8000,5000,375
8000,6000,369
8000,7000,395
8000,8000,357
8000,9000,383
8000,10000,387
8000,11000,369
8000,12000,390
8000,13000,385
8000,14000,378
8000,15000,394
8000,16000,404
8000,17000,404
8000,18000,406
8000,19000,444
8000,20000,410
8000,21000,420
8000,22000,430
8000,23000,433
8000,24000,423
8000,25000,419
8000,26000,433
8000,27000,446
8000,28000,473
8000,29000,451
8000,30000,466
8000,31000,486
8000,32000,553
8000,33000,534
8000,34000,530
8000,35000,477
8000,36000,495
8000,37000,477
8000,38000,522
8000,39000,516
8000,40000,532
8000,41000,500
8000,42000,563
8000,43000,526
8000,44000,540
8000,45000,546
8000,46000,542
8000,47000,535
8000,48000,533
8000,49000,544
8000,50000,582
9000,1000,397
9000,2000,398
9000,3000,407
9000,4000,402
9000,5000,400
9000,6000,408
9000,7000,464
9000,8000,462
9000,9000,456
9000,10000,432
9000,11000,452
9000,12000,430
9000,13000,437
9000,14000,422
9000,15000,438
9000,16000,441
9000,17000,445
9000,18000,454
9000,19000,439
9000,20000,475
9000,21000,445
9000,22000,457
9000,23000,481
9000,24000,507
9000,25000,455
9000,26000,479
9000,27000,477
9000,28000,466
9000,29000,547
9000,30000,545
9000,31000,544
9000,32000,560
9000,33000,505
9000,34000,524
9000,35000,538
9000,36000,507
9000,37000,546
9000,38000,535
9000,39000,588
9000,40000,513
9000,41000,542
9000,42000,573
9000,43000,570
9000,44000,602
9000,45000,588
9000,46000,570
9000,47000,567
9000,48000,612
9000,49000,606
9000,50000,610
10000,1000,440
10000,2000,462
10000,3000,442
10000,4000,459
10000,5000,536
10000,6000,501
10000,7000,499
10000,8000,513
10000,9000,484
10000,10000,464
10000,11000,467
10000,12000,487
10000,13000,470
10000,14000,474
10000,15000,466
10000,16000,476
10000,17000,462
10000,18000,496
10000,19000,495
10000,20000,484
10000,21000,529
10000,22000,499
10000,23000,495
10000,24000,509
10000,25000,505
10000,26000,512
10000,27000,516
10000,28000,563
10000,29000,586
10000,30000,617
10000,31000,552
10000,32000,532
10000,33000,548
10000,34000,546
10000,35000,552
10000,36000,574
10000,37000,587
10000,38000,582
10000,39000,576
10000,40000,604
10000,41000,583
10000,42000,608
10000,43000,615
10000,44000,609
10000,45000,600
10000,46000,625
10000,47000,635
10000,48000,632
10000,49000,632
10000,50000,715
11000,1000,553
11000,2000,472
11000,3000,555
11000,4000,553
11000,5000,541
11000,6000,555
11000,7000,514
11000,8000,491
11000,9000,503
11000,10000,515
11000,11000,500
11000,12000,508
11000,13000,504
11000,14000,552
11000,15000,526
11000,16000,627
11000,17000,516
11000,18000,543
11000,19000,524
11000,20000,555
11000,21000,526
11000,22000,523
11000,23000,526
11000,24000,566
11000,25000,545
11000,26000,636
11000,27000,612
11000,28000,605
11000,29000,642
11000,30000,561
11000,31000,611
11000,32000,595
11000,33000,620
11000,34000,574
11000,35000,592
11000,36000,589
11000,37000,596
11000,38000,583
11000,39000,627
11000,40000,619
11000,41000,630
11000,42000,639
11000,43000,643
11000,44000,677
11000,45000,658
11000,46000,640
11000,47000,664
11000,48000,753
11000,49000,725
11000,50000,636
12000,1000,600
12000,2000,586
12000,3000,536
12000,4000,534
12000,5000,551
12000,6000,522
12000,7000,539
12000,8000,546
12000,9000,573
12000,10000,582
12000,11000,541
12000,12000,569
12000,13000,599
12000,14000,549
12000,15000,632
12000,16000,561
12000,17000,626
12000,18000,559
12000,19000,561
12000,20000,585
12000,21000,568
12000,22000,574
12000,23000,588
12000,24000,644
12000,25000,673
12000,26000,641
12000,27000,678
12000,28000,640
12000,29000,610
12000,30000,626
12000,31000,670
12000,32000,650
12000,33000,637
12000,34000,644
12000,35000,620
12000,36000,645
12000,37000,643
12000,38000,678
12000,39000,650
12000,40000,671
12000,41000,672
12000,42000,691
12000,43000,676
12000,44000,691
12000,45000,732
12000,46000,798
12000,47000,787
12000,48000,700
12000,49000,767
12000,50000,754
13000,1000,563
13000,2000,638
13000,3000,564
13000,4000,570
13000,5000,565
13000,6000,594
13000,7000,663
13000,8000,604
13000,9000,590
13000,10000,613
13000,11000,590
13000,12000,599
13000,13000,635
13000,14000,602
13000,15000,608
13000,16000,590
13000,17000,590
13000,18000,598
13000,19000,615
13000,20000,687
13000,21000,597
13000,22000,638
13000,23000,677
13000,24000,674
13000,25000,615
13000,26000,676
13000,27000,619
13000,28000,621
13000,29000,631
13000,30000,633
13000,31000,630
13000,32000,660
13000,33000,647
13000,34000,642
13000,35000,642
13000,36000,652
13000,37000,703
13000,38000,694
13000,39000,714
13000,40000,691
13000,41000,737
13000,42000,698
13000,43000,732
13000,44000,711
13000,45000,782
13000,46000,762
13000,47000,758
13000,48000,785
13000,49000,753
13000,50000,750
14000,1000,624
14000,2000,594
14000,3000,639
14000,4000,667
14000,5000,628
14000,6000,622
14000,7000,646
14000,8000,626
14000,9000,645
14000,10000,640
14000,11000,629
14000,12000,667
14000,13000,634
14000,14000,660
14000,15000,678
14000,16000,660
14000,17000,707
14000,18000,647
14000,19000,691
14000,20000,691
14000,21000,748
14000,22000,717
14000,23000,684
14000,24000,708
14000,25000,673
14000,26000,667
14000,27000,715
14000,28000,669
14000,29000,683
14000,30000,690
14000,31000,745
14000,32000,687
14000,33000,729
14000,34000,694
14000,35000,693
14000,36000,762
14000,37000,720
14000,38000,710
14000,39000,738
14000,40000,768
14000,41000,780
14000,42000,761
14000,43000,824
14000,44000,742
14000,45000,816
14000,46000,823
14000,47000,792
14000,48000,804
14000,49000,792
14000,50000,804
15000,1000,646
15000,2000,662
15000,3000,661
15000,4000,658
15000,5000,649
15000,6000,725
15000,7000,673
15000,8000,646
15000,9000,689
15000,10000,673
15000,11000,706
15000,12000,679
15000,13000,677
15000,14000,686
15000,15000,691
15000,16000,696
15000,17000,693
15000,18000,697
15000,19000,738
15000,20000,740
15000,21000,750
15000,22000,847
15000,23000,794
15000,24000,744
15000,25000,788
15000,26000,709
15000,27000,709
15000,28000,706
15000,29000,721
15000,30000,748
15000,31000,726
15000,32000,737
15000,33000,739
15000,34000,759
15000,35000,764
15000,36000,772
15000,37000,790
15000,38000,773
15000,39000,764
15000,40000,807
15000,41000,875
15000,42000,827
15000,43000,824
15000,44000,841
15000,45000,785
15000,46000,827
15000,47000,823
15000,48000,843
15000,49000,814
15000,50000,831
16000,1000,709
16000,2000,689
16000,3000,744
16000,4000,750
16000,5000,773
16000,6000,700
16000,7000,715
16000,8000,718
16000,9000,718
16000,10000,761
16000,11000,751
16000,12000,714
16000,13000,730
16000,14000,749
16000,15000,725
16000,16000,761
16000,17000,791
16000,18000,810
16000,19000,730
16000,20000,808
16000,21000,735
16000,22000,804
16000,23000,773
16000,24000,748
16000,25000,744
16000,26000,794
16000,27000,762
16000,28000,775
16000,29000,781
16000,30000,772
16000,31000,802
16000,32000,769
16000,33000,780
16000,34000,781
16000,35000,817
16000,36000,824
16000,37000,837
16000,38000,809
16000,39000,861
16000,40000,894
16000,41000,836
16000,42000,903
16000,43000,908
16000,44000,868
16000,45000,859
16000,46000,862
16000,47000,827
16000,48000,871
16000,49000,899
16000,50000,852
17000,1000,738
17000,2000,731
17000,3000,780
17000,4000,756
17000,5000,800
17000,6000,740
17000,7000,828
17000,8000,850
17000,9000,754
17000,10000,764
17000,11000,754
17000,12000,806
17000,13000,790
17000,14000,855
17000,15000,774
17000,16000,853
17000,17000,854
17000,18000,797
17000,19000,853
17000,20000,848
17000,21000,846
17000,22000,825
17000,23000,786
17000,24000,783
17000,25000,818
17000,26000,847
17000,27000,830
17000,28000,800
17000,29000,798
17000,30000,835
17000,31000,816
17000,32000,813
17000,33000,848
17000,34000,866
17000,35000,844
17000,36000,844
17000,37000,930
17000,38000,944
17000,39000,838
17000,40000,920
17000,41000,1002
17000,42000,885
17000,43000,928
17000,44000,987
17000,45000,856
17000,46000,888
17000,47000,880
17000,48000,913
17000,49000,898
17000,50000,908
18000,1000,833
18000,2000,774
18000,3000,846
18000,4000,766
18000,5000,786
18000,6000,797
18000,7000,816
18000,8000,831
18000,9000,790
18000,10000,793
18000,11000,811
18000,12000,822
18000,13000,830
18000,14000,895
18000,15000,835
18000,16000,843
18000,17000,984
18000,18000,858
18000,19000,818
18000,20000,852
18000,21000,837
18000,22000,919
18000,23000,846
18000,24000,850
18000,25000,829
18000,26000,846
18000,27000,848
18000,28000,872
18000,29000,850
18000,30000,867
18000,31000,945
18000,32000,846
18000,33000,872
18000,34000,894
18000,35000,864
18000,36000,919
18000,37000,925
18000,38000,931
18000,39000,904
18000,40000,946
18000,41000,947
18000,42000,874
18000,43000,913
18000,44000,940
18000,45000,921
18000,46000,895
18000,47000,952
18000,48000,988
18000,49000,904
18000,50000,973
19000,1000,799
19000,2000,816
19000,3000,957
19000,4000,816
19000,5000,814
19000,6000,849
19000,7000,833
19000,8000,828
19000,9000,864
19000,10000,877
19000,11000,912
19000,12000,937
19000,13000,863
19000,14000,911
19000,15000,928
19000,16000,874
19000,17000,933
19000,18000,934
19000,19000,932
19000,20000,911
19000,21000,878
19000,22000,874
19000,23000,866
19000,24000,902
19000,25000,876
19000,26000,885
19000,27000,905
19000,28000,887
19000,29000,942
19000,30000,914
19000,31000,922
19000,32000,943
19000,33000,902
19000,34000,912
19000,35000,942
19000,36000,900
19000,37000,935
19000,38000,986
19000,39000,1067
19000,40000,900
19000,41000,922
19000,42000,971
19000,43000,992
19000,44000,955
19000,45000,926
19000,46000,952
19000,47000,935
19000,48000,972
19000,49000,972
19000,50000,983
20000,1000,886
20000,2000,904
20000,3000,864
20000,4000,969
20000,5000,866
20000,6000,894
20000,7000,899
20000,8000,882
20000,9000,978
20000,10000,955
20000,11000,879
20000,12000,1049
20000,13000,946
20000,14000,966
20000,15000,954
20000,16000,998
20000,17000,972
20000,18000,909
20000,19000,927
20000,20000,907
20000,21000,929
20000,22000,919
