common,external,linkonce,modules,prefix-length,section-size,external-fixups,internal-fixups,mean,confidenceInterval
1000,1000,1000,10,1,16384,0,0,1586.32,7.642178490666128
1000,1000,1000,10,1,14336,0,0,1395.92,7.736582550144475
1000,1000,1000,10,1,10240,0,0,1002.18,7.1270063226575004
1000,1000,1000,10,1,0,0,0,18.62,2.476676971104629
1000,1000,1000,10,1,18432,0,0,1701.04,9.920614688052348
1000,1000,1000,10,1,6144,0,0,605.94,4.951756040517343
1000,1000,1000,10,1,12288,0,0,1174.42,5.988007544684627
1000,1000,1000,10,1,4096,0,0,410.02,4.661171765468422
1000,1000,1000,10,1,2048,0,0,207.92,3.494230918986322
1000,1000,1000,10,1,22528,0,0,2059.2,14.371064305749938
1000,1000,1000,10,1,8192,0,0,793.58,5.465579401600529
1000,1000,1000,10,1,20480,0,0,1864,13.234978914981316
1000,1000,1000,10,1,26624,0,0,2443.92,8.801223248798994
1000,1000,1000,10,1,24576,0,0,2242.44,15.028398638737261
1000,1000,1000,10,1,28672,0,0,2601.06,10.784262691755982
1000,1000,1000,10,1,32768,0,0,2992.66,9.844681787686177
1000,1000,1000,10,1,30720,0,0,2794.46,5.031121094626922
